object_name,path,object_size,object_type,parent_directory
push-to-checkout.sample,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\hooks,2783,file,hooks
update.sample,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\hooks,3650,file,hooks
exclude,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\info,240,file,info
refs,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs,3732,directory,.git
HEAD,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs,2656,file,logs
heads,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs,2481,directory,logs
remotes,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs,1251,directory,logs
main,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs\heads,2481,file,heads
origin,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs\remotes,1251,directory,refs
main,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\logs\refs\remotes\origin,1251,file,origin
01,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2938,directory,.git
04,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,199,directory,.git
07,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3397,directory,.git
08,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,225,directory,.git
09,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,462,directory,.git
0a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,744,directory,.git
0d,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1528,directory,.git
0f,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,308,directory,.git
10,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3559,directory,.git
13,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,564,directory,.git
16,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,291,directory,.git
18,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,158,directory,.git
1a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,253,directory,.git
1b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,871,directory,.git
1d,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,215,directory,.git
1e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,642,directory,.git
24,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3229,directory,.git
25,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,52,directory,.git
29,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1765,directory,.git
2b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3876,directory,.git
2d,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,107,directory,.git
2e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,6665,directory,.git
30,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,156,directory,.git
34,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,107,directory,.git
35,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1608,directory,.git
37,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,145,directory,.git
3a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,97,directory,.git
46,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,87,directory,.git
47,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3125,directory,.git
4a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,800,directory,.git
4c,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3841,directory,.git
50,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3699,directory,.git
52,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,4304,directory,.git
54,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,80,directory,.git
56,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3154,directory,.git
5b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,494,directory,.git
5e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1334,directory,.git
64,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,537,directory,.git
67,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,120,directory,.git
6b,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,638,directory,.git
6e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1643,directory,.git
70,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,545,directory,.git
72,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2686,directory,.git
73,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,4505,directory,.git
74,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1092,directory,.git
76,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2355,directory,.git
77,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,322,directory,.git
79,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,173,directory,.git
7a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,427,directory,.git
7c,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,80,directory,.git
7e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,257,directory,.git
7f,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2658,directory,.git
82,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,372,directory,.git
83,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,52,directory,.git
84,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3443,directory,.git
87,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,436,directory,.git
88,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,110,directory,.git
89,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,4233,directory,.git
8a,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,193,directory,.git
8c,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3613,directory,.git
8e,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,161,directory,.git
8f,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2058,directory,.git
90,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,711,directory,.git
92,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,445,directory,.git
93,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,196,directory,.git
97,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,361,directory,.git
99,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,157,directory,.git
9d,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,989,directory,.git
9f,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,776,directory,.git
a1,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1121,directory,.git
a2,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1148,directory,.git
a5,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,602,directory,.git
a7,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,4045,directory,.git
a8,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2058,directory,.git
af,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1001,directory,.git
b0,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,3357,directory,.git
b4,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1831,directory,.git
b5,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,639,directory,.git
b7,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1661,directory,.git
b8,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,52,directory,.git
ba,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,544,directory,.git
c0,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1305,directory,.git
c1,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,108,directory,.git
c3,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1700,directory,.git
c5,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1109,directory,.git
c6,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,103,directory,.git
c7,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,77,directory,.git
c8,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,107,directory,.git
ca,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,127,directory,.git
cc,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2638,directory,.git
cd,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,827,directory,.git
cf,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1929,directory,.git
d0,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1952,directory,.git
d1,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,728,directory,.git
d4,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,653,directory,.git
d8,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,312,directory,.git
da,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,52,directory,.git
dc,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,727,directory,.git
dd,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,2576,directory,.git
de,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,128,directory,.git
df,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,77,directory,.git
e0,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,281,directory,.git
e3,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,103,directory,.git
e9,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1290,directory,.git
eb,C:\Users\homei\OneDrive\Рабочий стол\DeepPythonLection\.git\objects,1312,directory,.git
